# id xcentroid ycentroid fwhm sharpness roundness pa npix peak flux mag
88 609.0806415027503 470.2894979482852 1.9034260891297148 0.5626460825527024 0.03593572331316997 158.29015131823184 12 129.85892856297914 756.1919932346538 -7.196580186558565
23 94.06710337954394 130.74198058690715 2.054249196292662 0.6072288645626194 0.15382867007608148 1.266029881618119 12 127.22765254331142 879.2116533593048 -7.360233589337327
27 928.3622814552357 145.8512756923664 1.924384470404012 0.5688413066215398 0.04398961674095529 8.083264685157157 11 110.9544918732287 731.0443207932287 -7.159859268976189
97 964.1572754544702 554.1220013666003 1.9839135052254802 0.586437880731626 0.07540380379617487 5.6906917398539125 13 101.53499876383566 670.1163835939719 -7.0653755901967275
56 205.75144084538786 335.8731983874782 1.9695581339578558 0.5821944832845459 0.13435282215180966 175.10660197747478 12 96.47780179486227 609.5486928479685 -6.962521010696131
51 857.3317723087608 316.0760190044517 1.904712003604561 0.5630261943657652 0.020906342643988215 102.80377664895167 12 94.21219730856056 565.3359107403076 -6.880766432963114
11 897.2450851005257 62.236412398615535 1.9545939641699042 0.5777711271280197 0.11865205776169058 145.03951574293774 12 88.0749820799825 573.2586243974031 -6.895876493001351
19 748.8844954340225 112.26258498889369 1.9716052174442258 0.5827995939903633 0.07798509607296948 8.256605606065442 12 87.89525559183878 538.7990510893042 -6.828567055475171
126 810.2569306833072 699.209231480534 1.935427395420108 0.5721055565631125 0.04183804864096063 163.72046347388925 12 87.71134383289711 527.5654372600517 -6.805690838968791
64 919.1766191889478 377.03927716822693 1.929195455660428 0.5702634170061772 0.044983755346395746 176.72187008178145 13 81.04970378117764 485.09164280047173 -6.71455948157184
140 543.0805048272682 770.08365417257 1.9412782282381476 0.5738350422434553 0.0216109359014141 44.968707375747805 12 78.87836940935046 487.44761377374107 -6.719819871771101
119 651.1610530747591 667.8718729608933 1.9890878634658615 0.5879674028971049 0.06316160182256898 38.913776951703156 13 78.04315137216312 484.3579616923986 -6.712916107248573
